,ano,mes,sigla_uf,tipo_consumo,numero_consumidores,consumo
563,2004,9,PR,Cativo,,1489696
564,2004,9,AM,Cativo,,308616
565,2004,9,RO,Cativo,,116058
566,2004,9,AL,Cativo,,279917
567,2004,10,MG,Cativo,,2797340
568,2004,10,RN,Cativo,,264005
569,2004,10,RR,Cativo,,31634
570,2004,10,AC,Cativo,,36948
571,2004,10,SP,Cativo,,7210172
572,2004,10,DF,Cativo,,318078
573,2004,10,PE,Cativo,,650709
574,2004,10,AM,Cativo,,319945
575,2004,10,MS,Cativo,,255724
576,2004,10,GO,Cativo,,733882
577,2004,10,PI,Cativo,,134046
578,2004,10,AL,Cativo,,290729
579,2004,10,TO,Cativo,,77895
580,2004,10,ES,Cativo,,484343
581,2004,10,MT,Cativo,,346373
582,2004,10,PA,Cativo,,511844
583,2004,10,RJ,Cativo,,2186087
584,2004,10,CE,Cativo,,553697
585,2004,10,PB,Cativo,,235224
586,2004,10,AP,Cativo,,46695
587,2004,10,SC,Cativo,,1135014
588,2004,10,RS,Cativo,,1556103
589,2004,10,RO,Cativo,,120268
590,2004,10,SE,Cativo,,164118
591,2004,10,MA,Cativo,,254396
592,2004,10,BA,Cativo,,1375877
593,2004,10,PR,Cativo,,1443708
594,2004,11,MS,Cativo,,250017
595,2004,11,RR,Cativo,,33054
596,2004,11,MT,Cativo,,326945
597,2004,11,MG,Cativo,,2794368
598,2004,11,PI,Cativo,,138289
599,2004,11,RJ,Cativo,,2213068
600,2004,11,DF,Cativo,,299605
601,2004,11,BA,Cativo,,1382323
602,2004,11,RS,Cativo,,1602281
603,2004,11,TO,Cativo,,74206
604,2004,11,AL,Cativo,,289596
605,2004,11,PB,Cativo,,238462
606,2004,11,GO,Cativo,,632712
607,2004,11,SC,Cativo,,1157708
608,2004,11,SE,Cativo,,174599
609,2004,11,SP,Cativo,,7027732
610,2004,11,MA,Cativo,,253468
611,2004,11,ES,Cativo,,480238
612,2004,11,RO,Cativo,,119959
613,2004,11,PA,Cativo,,534666
614,2004,11,RN,Cativo,,281877
615,2004,11,AM,Cativo,,310684
616,2004,11,AC,Cativo,,38066
617,2004,11,AP,Cativo,,46641
618,2004,11,PE,Cativo,,668430
619,2004,11,PR,Cativo,,1459947
620,2004,11,CE,Cativo,,575825
621,2004,12,PI,Cativo,,132442
